"Förskrivning till människor by varugrupp, kön, åldersgrupp, period and mätvärde"

"varugrupp";"kön";"åldersgrupp";"period";"mätvärde";"Förskrivning till människor"
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-12";"AUP exkl moms";8029854
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-12";"Förpackningar";40374
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-01";"AUP exkl moms";7571042
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-01";"Förpackningar";37786
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-02";"AUP exkl moms";7013272
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-02";"Förpackningar";37442
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-03";"AUP exkl moms";8832555
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-03";"Förpackningar";43351
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-04";"AUP exkl moms";7562374
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-04";"Förpackningar";39576
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-05";"AUP exkl moms";7836463
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-05";"Förpackningar";40132
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-06";"AUP exkl moms";8585854
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-06";"Förpackningar";40594
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-07";"AUP exkl moms";7073069
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-07";"Förpackningar";36780
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-08";"AUP exkl moms";7433208
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-08";"Förpackningar";37483
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-09";"AUP exkl moms";7859895
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-09";"Förpackningar";38691
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-10";"AUP exkl moms";8190103
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-10";"Förpackningar";40961
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-11";"AUP exkl moms";8269285
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-11";"Förpackningar";40854
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-12";"AUP exkl moms";8897818
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021-12";"Förpackningar";43271
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-01";"AUP exkl moms";7860664
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-01";"Förpackningar";40349
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-02";"AUP exkl moms";8066603
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-02";"Förpackningar";40857
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-03";"AUP exkl moms";9791547
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-03";"Förpackningar";48249
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-04";"AUP exkl moms";7419573
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-04";"Förpackningar";39985
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-05";"AUP exkl moms";8870245
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-05";"Förpackningar";43176
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-06";"AUP exkl moms";8317559
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-06";"Förpackningar";42806
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-07";"AUP exkl moms";7568303
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-07";"Förpackningar";37497
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-08";"AUP exkl moms";8511944
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-08";"Förpackningar";40148
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-09";"AUP exkl moms";8242884
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-09";"Förpackningar";40931
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-10";"AUP exkl moms";8849739
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-10";"Förpackningar";42823
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-11";"AUP exkl moms";8405322
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-11";"Förpackningar";42987
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-12";"AUP exkl moms";8812742
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022-12";"Förpackningar";44811
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-01";"AUP exkl moms";8330721
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-01";"Förpackningar";44404
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-02";"AUP exkl moms";8013080
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-02";"Förpackningar";41918
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-03";"AUP exkl moms";9439893
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-03";"Förpackningar";47758
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-04";"AUP exkl moms";8318719
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-04";"Förpackningar";41985
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-05";"AUP exkl moms";8930700
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-05";"Förpackningar";45943
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-06";"AUP exkl moms";8918725
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-06";"Förpackningar";43849
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-07";"AUP exkl moms";8146016
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-07";"Förpackningar";40432
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-08";"AUP exkl moms";9870790
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-08";"Förpackningar";42840
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-09";"AUP exkl moms";8982492
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-09";"Förpackningar";42783
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-10";"AUP exkl moms";9378255
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-10";"Förpackningar";45610
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-11";"AUP exkl moms";10109171
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-11";"Förpackningar";45212
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-12";"AUP exkl moms";9851257
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023-12";"Förpackningar";45930
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-01";"AUP exkl moms";11031569
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-01";"Förpackningar";48035
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-02";"AUP exkl moms";9464399
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-02";"Förpackningar";45175
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-03";"AUP exkl moms";9961070
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-03";"Förpackningar";46473
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-04";"AUP exkl moms";10739189
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-04";"Förpackningar";46972
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-05";"AUP exkl moms";9917269
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-05";"Förpackningar";47568
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-06";"AUP exkl moms";9261577
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-06";"Förpackningar";42411
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-07";"AUP exkl moms";10260768
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-07";"Förpackningar";42969
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-08";"AUP exkl moms";9876838
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-08";"Förpackningar";43718
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-09";"AUP exkl moms";9757019
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-09";"Förpackningar";43592
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-10";"AUP exkl moms";10574388
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-10";"Förpackningar";47018
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-11";"AUP exkl moms";10497955
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-11";"Förpackningar";46540
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-12";"AUP exkl moms";10818095
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024-12";"Förpackningar";46088
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020";"AUP exkl moms";339499685
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020";"Förpackningar";1151331
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021";"AUP exkl moms";357088589
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021";"Förpackningar";1170284
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022";"AUP exkl moms";393480682
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022";"Förpackningar";1214379
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023";"AUP exkl moms";477146994
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023";"Förpackningar";1281054
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024";"AUP exkl moms";664033231
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024";"Förpackningar";1412198
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-01";"AUP exkl moms";29352336
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-01";"Förpackningar";99567
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-02";"AUP exkl moms";27286963
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-02";"Förpackningar";94235
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-03";"AUP exkl moms";38125497
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-03";"Förpackningar";126185
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-04";"AUP exkl moms";24449243
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-04";"Förpackningar";83422
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-05";"AUP exkl moms";23485448
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-05";"Förpackningar";82170
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-06";"AUP exkl moms";26854533
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-06";"Förpackningar";88274
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-07";"AUP exkl moms";26300482
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-07";"Förpackningar";89965
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-08";"AUP exkl moms";26655997
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-08";"Förpackningar";88785
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-09";"AUP exkl moms";27994353
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-09";"Förpackningar";95697
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-10";"AUP exkl moms";28452095
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-10";"Förpackningar";100411
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-11";"AUP exkl moms";30595943
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-11";"Förpackningar";100953
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-12";"AUP exkl moms";29946794
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2020-12";"Förpackningar";101667
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-01";"AUP exkl moms";28269273
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-01";"Förpackningar";94798
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-02";"AUP exkl moms";28423874
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-02";"Förpackningar";91911
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-03";"AUP exkl moms";31075311
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-03";"Förpackningar";104534
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-04";"AUP exkl moms";28244125
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-04";"Förpackningar";95179
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-05";"AUP exkl moms";28069404
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-05";"Förpackningar";94402
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-06";"AUP exkl moms";30723459
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-06";"Förpackningar";98060
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-07";"AUP exkl moms";28576906
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-07";"Förpackningar";92262
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-08";"AUP exkl moms";29038904
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-08";"Förpackningar";94470
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-09";"AUP exkl moms";31014198
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-09";"Förpackningar";99714
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-10";"AUP exkl moms";30589498
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-10";"Förpackningar";100496
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-11";"AUP exkl moms";30558708
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-11";"Förpackningar";100210
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-12";"AUP exkl moms";32504928
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2021-12";"Förpackningar";104247
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-01";"AUP exkl moms";28784172
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-01";"Förpackningar";96742
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-02";"AUP exkl moms";31231292
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-02";"Förpackningar";98273
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-03";"AUP exkl moms";35366149
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-03";"Förpackningar";116486
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-04";"AUP exkl moms";30194211
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-04";"Förpackningar";94783
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-05";"AUP exkl moms";32101018
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-05";"Förpackningar";99974
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-06";"AUP exkl moms";32974463
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-06";"Förpackningar";98881
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-07";"AUP exkl moms";31167926
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-07";"Förpackningar";90120
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-08";"AUP exkl moms";32672195
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-08";"Förpackningar";97633
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-09";"AUP exkl moms";34166989
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-09";"Förpackningar";101669
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-10";"AUP exkl moms";33913258
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-10";"Förpackningar";106075
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-11";"AUP exkl moms";35428584
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-11";"Förpackningar";107649
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-12";"AUP exkl moms";35480424
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2022-12";"Förpackningar";106095
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-01";"AUP exkl moms";34406214
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-01";"Förpackningar";103333
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-02";"AUP exkl moms";35502308
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-02";"Förpackningar";99151
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-03";"AUP exkl moms";38772644
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-03";"Förpackningar";115023
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-04";"AUP exkl moms";36840815
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-04";"Förpackningar";98283
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-05";"AUP exkl moms";40643316
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-05";"Förpackningar";108767
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-06";"AUP exkl moms";39964167
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-06";"Förpackningar";105566
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-07";"AUP exkl moms";39057815
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-07";"Förpackningar";98995
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-08";"AUP exkl moms";41760191
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-08";"Förpackningar";106630
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-09";"AUP exkl moms";41376646
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-09";"Förpackningar";108539
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-10";"AUP exkl moms";43242925
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-10";"Förpackningar";113953
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-11";"AUP exkl moms";45412302
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-11";"Förpackningar";113314
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-12";"AUP exkl moms";40167652
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2023-12";"Förpackningar";109501
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-01";"AUP exkl moms";49399252
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-01";"Förpackningar";118154
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-02";"AUP exkl moms";46982069
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-02";"Förpackningar";106497
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-03";"AUP exkl moms";49353113
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-03";"Förpackningar";115578
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-04";"AUP exkl moms";52058980
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-04";"Förpackningar";116877
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-05";"AUP exkl moms";55269569
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-05";"Förpackningar";119959
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-06";"AUP exkl moms";51712409
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-06";"Förpackningar";109694
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-07";"AUP exkl moms";54955807
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-07";"Förpackningar";112367
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-08";"AUP exkl moms";57674334
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-08";"Förpackningar";116574
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-09";"AUP exkl moms";57707203
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-09";"Förpackningar";119248
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-10";"AUP exkl moms";63000119
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-10";"Förpackningar";127604
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-11";"AUP exkl moms";63148640
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-11";"Förpackningar";125207
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"15 - 44";"2024-12";"AUP exkl moms";62771737
